tile,xoge,yoge
0,10,50
0,10,60
0,10,70
0,10,80
0,20,60
0,20,70
0,20,80
0,30,70
0,30,80
0,40,70
0,40,80
0,50,70
0,50,80
0,60,70
0,60,80
0,70,70
0,70,80
0,80,80
1,5,20
1,5,25
1,5,30
1,5,35
1,5,40
1,5,45
1,5,50
1,5,55
1,5,60
1,5,80
1,5,85
1,10,10
1,10,20
1,10,25
1,10,30
1,10,35
1,10,40
1,10,45
1,10,50
1,10,55
1,10,60
1,10,75
1,10,80
1,10,85
1,15,20
1,15,25
1,15,30
1,15,35
1,15,40
1,15,45
1,15,50
1,15,55
1,15,60
1,15,65
1,15,70
1,15,75
1,15,80
1,15,85
1,20,10
1,20,20
1,20,25
1,20,30
1,20,35
1,20,40
1,20,45
1,20,50
1,20,55
1,20,60
1,20,65
1,20,70
1,20,75
1,25,20
1,25,25
1,25,30
1,25,35
1,25,40
1,25,45
1,25,50
1,25,55
1,25,60
1,25,65
1,25,70
1,25,75
1,30,10
1,30,20
1,30,25
1,30,30
1,30,35
1,30,40
1,30,45
1,30,50
1,30,55
1,30,60
1,30,65
1,30,70
1,30,75
1,35,20
1,35,25
1,35,30
1,35,35
1,35,40
1,35,45
1,35,50
1,35,55
1,35,60
1,35,65
1,35,70
1,35,75
1,40,10
1,40,20
1,40,25
1,40,30
1,40,35
1,40,40
1,40,45
1,40,50
1,40,55
1,40,60
1,40,65
1,40,70
1,40,75
2,5,5
2,5,10
2,5,15
2,5,20
2,5,25
2,5,30
2,5,35
2,5,40
2,5,45
2,5,50
2,5,55
2,5,60
2,5,65
2,5,70
2,5,75
2,5,80
2,10,5
2,10,10
2,10,15
2,10,20
2,10,25
2,10,30
2,10,35
2,10,40
2,10,45
2,10,50
2,10,55
2,10,60
2,10,65
2,10,70
2,10,75
2,10,80
2,10,85
2,15,10
2,15,15
2,15,20
2,15,25
2,15,30
2,15,35
2,15,40
2,15,45
2,15,50
2,15,55
2,15,60
2,15,65
2,15,70
2,15,75
2,15,80
2,15,85
2,20,5
2,20,10
2,20,15
2,20,20
2,20,25
2,20,30
2,20,35
2,20,40
2,20,45
2,20,50
2,20,55
2,20,60
2,20,65
2,25,65
2,25,70
2,25,80
2,25,85
2,30,65
2,30,75
2,30,80
2,30,85
2,35,70
2,35,75
2,35,80
2,35,85
2,40,75
2,40,80
2,40,85
3,10,80
3,20,80
3,30,80
3,40,80
3,50,80
3,60,80
3,70,80
3,80,80
4,5,20
4,5,25
4,5,30
4,5,35
4,5,40
4,5,45
4,5,50
4,5,55
4,5,60
4,5,65
4,5,70
4,5,75
4,5,80
4,5,85
4,10,10
4,10,20
4,10,25
4,10,30
4,10,35
4,10,40
4,10,45
4,10,50
4,10,55
4,10,60
4,10,65
4,10,70
4,10,75
4,10,80
4,10,85
4,15,20
4,15,25
4,15,30
4,15,35
4,15,40
4,15,45
4,15,50
4,15,55
4,15,60
4,15,65
4,15,70
4,15,75
4,15,80
4,15,85
4,20,10
4,20,20
4,20,25
4,20,30
4,20,35
4,20,40
4,20,45
4,20,50
4,20,55
4,20,60
4,20,65
4,20,70
4,20,75
4,20,80
4,20,85
4,25,20
4,25,25
4,25,30
4,25,35
4,25,40
4,25,45
4,25,50
4,25,55
4,25,60
4,25,65
4,25,70
4,25,75
4,25,80
4,30,10
4,30,20
4,30,25
4,30,30
4,30,35
4,30,40
4,30,45
4,30,50
4,30,55
4,30,60
4,30,65
4,30,70
4,30,75
4,30,80
4,35,20
4,35,25
4,35,30
4,35,35
4,35,40
4,35,45
4,35,50
4,35,55
4,35,60
4,35,65
4,35,70
4,35,75
4,35,80
4,40,10
4,40,20
4,40,25
4,40,30
4,40,35
4,40,40
4,40,45
4,40,50
4,40,55
4,45,20
4,45,25
4,45,30
4,45,35
4,45,40
4,45,45
4,45,50
4,45,55
4,50,10
4,50,20
4,50,25
4,50,30
4,50,35
4,50,40
4,50,45
4,50,50
4,50,55
4,55,20
4,55,25
4,55,30
4,55,35
4,55,40
4,55,45
4,55,50
4,55,55
4,60,10
4,60,20
4,60,25
4,60,30
4,60,35
4,60,40
4,60,45
4,60,50
4,60,55
4,65,20
4,65,25
4,70,10
4,70,20
4,70,25
4,75,20
4,75,25
4,80,10
4,80,20
4,80,25
4,85,20
4,85,25
5,5,5
5,10,5
5,10,10
5,15,5
5,15,10
5,35,5
5,65,5
5,65,10
5,75,10
5,75,15
5,75,20
5,80,5
5,80,10
5,80,15
5,80,20
5,85,5
5,85,10
5,85,15
5,85,20
5,85,25
6,5,15
6,5,25
6,5,35
6,5,45
6,5,55
6,5,65
6,15,25
6,15,45
6,15,55
6,35,20
6,35,35
6,45,30
6,45,40
6,55,15
6,55,25
6,55,35
6,55,45
6,55,55
6,65,10
6,65,20
6,65,30
6,65,40
6,65,50
6,65,60
6,75,35
6,75,45
6,75,55
6,75,65
6,85,35
6,85,45
6,85,55
6,85,65
7,45,20
7,45,25
7,45,30
7,45,35
7,45,40
7,45,45
7,45,50
7,45,55
7,45,60
7,45,65
7,45,70
7,45,75
7,45,80
7,45,85
7,50,10
7,50,15
7,50,20
7,50,25
7,50,30
7,50,35
7,50,40
7,50,45
7,50,50
7,50,55
7,50,60
7,50,65
7,50,70
7,50,75
7,50,80
7,50,85
7,55,5
7,55,10
7,55,15
7,55,20
7,55,25
7,55,30
7,55,35
7,55,40
7,55,45
7,55,50
7,55,55
7,55,60
7,55,65
7,55,70
7,55,75
7,55,80
7,55,85
7,60,5
7,60,10
7,60,15
7,60,20
7,60,25
7,60,30
7,60,35
7,60,40
7,60,45
7,60,50
7,60,55
7,60,60
7,60,65
7,60,70
7,60,75
7,60,80
7,60,85
7,65,5
7,65,10
7,65,15
7,65,20
7,65,25
7,65,30
7,65,35
7,65,40
7,65,45
7,65,50
7,65,55
7,65,60
7,65,65
7,65,70
7,65,75
7,65,80
7,65,85
7,70,5
7,70,10
7,70,15
7,70,20
7,70,25
7,70,30
7,70,35
7,70,40
7,70,45
7,70,50
7,70,55
7,70,60
7,70,65
7,70,70
7,70,75
7,70,80
7,70,85
7,75,5
7,75,10
7,75,15
7,75,20
7,75,25
7,75,30
7,75,35
7,75,40
7,75,45
7,75,50
7,75,55
7,75,60
7,75,65
7,75,70
7,75,75
7,75,80
7,75,85
7,80,5
7,80,10
7,80,15
7,80,20
7,80,25
7,80,30
7,80,35
7,80,40
7,80,45
7,80,50
7,80,55
7,80,60
7,80,65
7,80,70
7,80,75
7,80,80
7,80,85
7,85,5
7,85,10
7,85,15
7,85,20
7,85,25
7,85,30
7,85,35
7,85,40
7,85,45
7,85,50
7,85,70
7,85,75
7,85,80
7,85,85
8,5,5
8,5,10
8,5,15
8,5,20
8,5,25
8,5,30
8,5,35
8,5,40
8,5,45
8,5,50
8,5,55
8,5,60
8,5,65
8,5,70
8,5,75
8,5,80
8,5,85
8,10,5
8,10,10
8,10,15
8,10,20
8,10,25
8,10,30
8,10,35
8,10,40
8,10,45
8,10,50
8,10,55
8,10,60
8,10,65
8,10,70
8,10,75
8,10,80
8,10,85
8,15,5
8,15,10
8,15,15
8,15,20
8,15,25
8,15,30
8,15,35
8,15,40
8,15,45
8,15,50
8,15,55
8,15,60
8,15,65
8,15,70
8,15,75
8,15,80
8,15,85
8,20,25
8,20,30
8,20,35
8,20,40
8,20,45
8,20,50
8,20,55
8,20,60
8,20,65
8,20,70
8,20,75
8,20,80
8,20,85
8,25,25
8,25,30
8,25,35
8,25,40
8,25,45
8,25,50
8,25,55
8,25,60
8,25,65
8,25,70
8,25,75
8,25,80
8,25,85
8,30,30
8,30,35
8,30,40
8,30,45
8,30,50
8,30,55
8,30,60
8,30,65
8,30,70
8,30,75
8,30,80
8,30,85
8,35,55
8,35,60
8,35,65
8,35,70
8,35,75
8,35,80
8,35,85
8,40,55
8,40,60
8,40,65
8,40,70
8,40,75
8,40,80
8,40,85
8,45,20
8,45,25
8,45,30
8,45,35
8,45,40
8,45,45
8,45,50
8,45,55
8,45,60
8,45,65
8,45,70
8,45,75
8,45,80
8,45,85
8,50,20
8,50,25
8,50,30
8,50,35
8,50,40
8,50,45
8,50,50
8,50,55
8,50,60
8,50,65
8,50,70
8,50,75
8,50,80
8,50,85
8,55,25
8,55,30
8,55,35
8,55,40
8,55,45
8,55,50
8,55,55
8,55,60
8,55,65
8,55,70
8,55,75
8,55,80
8,55,85
8,60,15
8,60,20
8,60,25
8,60,35
8,60,40
8,60,45
8,60,50
8,60,55
8,60,60
8,60,65
8,60,70
8,60,75
8,60,80
8,60,85
8,65,10
8,65,15
8,65,20
8,65,25
8,65,35
8,65,40
8,65,45
8,65,50
8,65,55
8,65,60
8,65,65
8,65,70
8,65,75
8,65,80
8,65,85
8,70,10
8,70,15
8,70,20
8,70,35
8,70,40
8,70,45
8,70,50
8,70,55
8,70,60
8,70,65
8,70,70
8,70,75
8,70,80
8,70,85
8,80,10
8,80,20
8,80,30
8,80,40
8,80,50
8,80,60
8,80,70
8,80,80
9,10,10
9,10,20
9,10,30
9,10,40
9,10,50
9,10,60
9,10,70
9,10,80
9,20,10
9,20,20
9,20,30
9,20,40
9,20,50
9,20,60
9,20,70
9,20,80
9,30,30
9,30,40
9,30,50
9,30,60
9,30,70
9,30,80
9,40,30
9,40,40
9,40,50
9,40,60
9,40,70
9,40,80
10,30,75
10,30,80
10,30,85
10,35,75
10,35,80
10,35,85
10,40,75
10,40,80
10,40,85
10,45,80
10,45,85
10,49,70
10,50,75
10,49,80
10,49,85
10,52,66
10,55,64
10,55,68
10,54,73
10,55,78
10,54,82
10,55,86
10,60,55
10,60,60
10,60,65
10,60,70
10,60,75
10,60,80
10,60,85
10,65,60
10,65,65
10,65,70
10,65,75
10,65,80
10,65,85
10,70,55
10,70,60
10,70,65
10,70,70
10,70,75
10,70,80
10,70,85
10,75,5
10,75,10
10,75,59
10,75,65
10,75,69
10,75,75
10,75,80
10,75,85
10,80,5
10,80,10
10,80,65
10,80,69
10,80,74
10,80,79
10,80,84
10,85,5
10,85,10
10,85,55
10,85,60
10,85,65
10,85,69
10,85,74
10,85,79
10,85,84
11,5,5
11,5,10
11,5,15
11,5,20
11,5,25
11,5,30
11,5,35
11,5,40
11,5,80
11,5,85
11,10,5
11,10,10
11,10,15
11,10,20
11,10,25
11,10,30
11,10,35
11,10,40
11,10,80
11,10,85
11,15,5
11,15,10
11,15,15
11,15,20
11,15,25
11,15,30
11,15,35
11,15,40
11,15,85
11,20,5
11,20,10
11,20,15
11,20,20
11,20,25
11,20,30
11,20,35
11,20,40
11,25,5
11,25,10
11,25,15
11,25,20
11,25,25
11,25,30
11,25,35
11,25,40
11,30,5
11,30,10
11,30,15
11,30,20
11,30,25
11,30,30
11,30,35
11,30,40
11,35,5
11,35,10
11,35,15
11,35,20
11,35,25
11,35,30
11,35,35
11,35,40
11,35,45
11,40,5
11,40,10
11,40,15
11,40,20
11,40,25
11,40,30
11,40,35
11,40,40
11,40,45
11,45,5
11,45,10
11,45,15
11,45,20
11,45,25
11,45,30
11,45,35
11,45,40
11,45,45
11,45,85
11,50,5
11,50,10
11,50,15
11,50,20
11,50,25
11,50,30
11,50,35
11,50,40
11,50,45
11,50,80
11,50,85
11,55,5
